gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx1250,256,1,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0091,auto,0.0,0.17,174.41
gfx1250,256,1,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0110,auto,0.0,9.13,9128.92
gfx1250,256,1,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0175,auto,0.0,8.64,8645.21
gfx1250,256,1,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0111,auto,0.0,10.21,10211.57
gfx1250,256,1,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0131,auto,0.0,9.22,9227.09
gfx1250,256,1,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0455,auto,0.0,6.64,6637.91
gfx1250,256,1,200064,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.3169,auto,0.0,7.76,7759.50
gfx1250,256,2,200064,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.3191,auto,0.0,15.41,7705.89
gfx1250,256,3,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0093,auto,0.0,0.51,173.69
gfx1250,256,3,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0115,auto,0.0,26.18,8734.23
gfx1250,256,3,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0187,auto,0.0,24.22,8080.51
gfx1250,256,3,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0117,auto,0.0,29.07,9699.48
gfx1250,256,3,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0135,auto,0.0,26.88,8965.64
gfx1250,256,3,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0462,auto,0.0,19.63,6545.81
gfx1250,256,4,128,6144,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0093,auto,0.0,0.68,174.78
gfx1250,256,4,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,0.0115,auto,0.0,34.88,8729.15
